2026-02-06 11:47:16 trigproc man-db:arm64 2.13.1-1 <none>
2026-02-06 11:47:16 status half-configured man-db:arm64 2.13.1-1
2026-02-06 11:47:17 status installed man-db:arm64 2.13.1-1
2026-02-25 18:19:56 startup archives unpack
2026-02-25 18:19:57 install containerd.io:arm64 <none> 2.2.1-1~debian.13~trixie
2026-02-25 18:19:57 status half-installed containerd.io:arm64 2.2.1-1~debian.13~trixie
2026-02-25 18:20:03 status triggers-pending man-db:arm64 2.13.1-1
2026-02-25 18:20:03 status unpacked containerd.io:arm64 2.2.1-1~debian.13~trixie
2026-02-25 18:20:03 install docker-ce-cli:arm64 <none> 5:29.2.1-1~debian.13~trixie
2026-02-25 18:20:03 status half-installed docker-ce-cli:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:20:07 status unpacked docker-ce-cli:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:20:07 install docker-ce:arm64 <none> 5:29.2.1-1~debian.13~trixie
2026-02-25 18:20:07 status half-installed docker-ce:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:20:12 status unpacked docker-ce:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:20:12 install pigz:arm64 <none> 2.8-1+b1
2026-02-25 18:20:12 status half-installed pigz:arm64 2.8-1+b1
2026-02-25 18:20:13 status unpacked pigz:arm64 2.8-1+b1
2026-02-25 18:20:13 install docker-buildx-plugin:arm64 <none> 0.31.1-1~debian.13~trixie
2026-02-25 18:20:13 status half-installed docker-buildx-plugin:arm64 0.31.1-1~debian.13~trixie
2026-02-25 18:20:19 status unpacked docker-buildx-plugin:arm64 0.31.1-1~debian.13~trixie
2026-02-25 18:20:19 install docker-ce-rootless-extras:arm64 <none> 5:29.2.1-1~debian.13~trixie
2026-02-25 18:20:19 status half-installed docker-ce-rootless-extras:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:20:20 status unpacked docker-ce-rootless-extras:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:20:20 install docker-compose-plugin:arm64 <none> 5.1.0-1~debian.13~trixie
2026-02-25 18:20:20 status half-installed docker-compose-plugin:arm64 5.1.0-1~debian.13~trixie
2026-02-25 18:20:22 status unpacked docker-compose-plugin:arm64 5.1.0-1~debian.13~trixie
2026-02-25 18:20:22 install libslirp0:arm64 <none> 4.8.0-1+b1
2026-02-25 18:20:22 status triggers-pending libc-bin:arm64 2.41-12+rpt1
2026-02-25 18:20:22 status half-installed libslirp0:arm64 4.8.0-1+b1
2026-02-25 18:20:22 status unpacked libslirp0:arm64 4.8.0-1+b1
2026-02-25 18:20:22 install slirp4netns:arm64 <none> 1.2.1-1.1
2026-02-25 18:20:22 status half-installed slirp4netns:arm64 1.2.1-1.1
2026-02-25 18:20:23 status unpacked slirp4netns:arm64 1.2.1-1.1
2026-02-25 18:20:23 startup packages configure
2026-02-25 18:20:23 configure docker-buildx-plugin:arm64 0.31.1-1~debian.13~trixie <none>
2026-02-25 18:20:23 status unpacked docker-buildx-plugin:arm64 0.31.1-1~debian.13~trixie
2026-02-25 18:20:23 status half-configured docker-buildx-plugin:arm64 0.31.1-1~debian.13~trixie
2026-02-25 18:20:23 status installed docker-buildx-plugin:arm64 0.31.1-1~debian.13~trixie
2026-02-25 18:20:23 configure containerd.io:arm64 2.2.1-1~debian.13~trixie <none>
2026-02-25 18:20:23 status unpacked containerd.io:arm64 2.2.1-1~debian.13~trixie
2026-02-25 18:20:23 status half-configured containerd.io:arm64 2.2.1-1~debian.13~trixie
2026-02-25 18:20:24 status installed containerd.io:arm64 2.2.1-1~debian.13~trixie
2026-02-25 18:20:25 configure docker-compose-plugin:arm64 5.1.0-1~debian.13~trixie <none>
2026-02-25 18:20:25 status unpacked docker-compose-plugin:arm64 5.1.0-1~debian.13~trixie
2026-02-25 18:20:25 status half-configured docker-compose-plugin:arm64 5.1.0-1~debian.13~trixie
2026-02-25 18:20:25 status installed docker-compose-plugin:arm64 5.1.0-1~debian.13~trixie
2026-02-25 18:20:25 configure docker-ce-cli:arm64 5:29.2.1-1~debian.13~trixie <none>
2026-02-25 18:20:25 status unpacked docker-ce-cli:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:20:25 status half-configured docker-ce-cli:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:20:25 status installed docker-ce-cli:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:20:25 configure libslirp0:arm64 4.8.0-1+b1 <none>
2026-02-25 18:20:25 status unpacked libslirp0:arm64 4.8.0-1+b1
2026-02-25 18:20:25 status half-configured libslirp0:arm64 4.8.0-1+b1
2026-02-25 18:20:25 status installed libslirp0:arm64 4.8.0-1+b1
2026-02-25 18:20:25 configure pigz:arm64 2.8-1+b1 <none>
2026-02-25 18:20:25 status unpacked pigz:arm64 2.8-1+b1
2026-02-25 18:20:25 status half-configured pigz:arm64 2.8-1+b1
2026-02-25 18:20:25 status installed pigz:arm64 2.8-1+b1
2026-02-25 18:20:25 configure docker-ce-rootless-extras:arm64 5:29.2.1-1~debian.13~trixie <none>
2026-02-25 18:20:25 status unpacked docker-ce-rootless-extras:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:20:25 status half-configured docker-ce-rootless-extras:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:20:25 status installed docker-ce-rootless-extras:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:20:25 configure slirp4netns:arm64 1.2.1-1.1 <none>
2026-02-25 18:20:25 status unpacked slirp4netns:arm64 1.2.1-1.1
2026-02-25 18:20:25 status half-configured slirp4netns:arm64 1.2.1-1.1
2026-02-25 18:20:25 status installed slirp4netns:arm64 1.2.1-1.1
2026-02-25 18:20:25 configure docker-ce:arm64 5:29.2.1-1~debian.13~trixie <none>
2026-02-25 18:20:25 status unpacked docker-ce:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:20:25 status half-configured docker-ce:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:20:29 status installed docker-ce:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:20:29 trigproc man-db:arm64 2.13.1-1 <none>
2026-02-25 18:20:29 status half-configured man-db:arm64 2.13.1-1
2026-02-25 18:20:32 status installed man-db:arm64 2.13.1-1
2026-02-25 18:20:32 trigproc libc-bin:arm64 2.41-12+rpt1 <none>
2026-02-25 18:20:32 status half-configured libc-bin:arm64 2.41-12+rpt1
2026-02-25 18:20:33 status installed libc-bin:arm64 2.41-12+rpt1
2026-02-25 18:57:49 startup packages remove
2026-02-25 18:57:49 status installed docker-ce:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:57:50 remove docker-ce:arm64 5:29.2.1-1~debian.13~trixie <none>
2026-02-25 18:57:50 status half-configured docker-ce:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:57:50 status half-installed docker-ce:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:57:50 status triggers-pending man-db:arm64 2.13.1-1
2026-02-25 18:57:51 status config-files docker-ce:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:57:51 status installed containerd.io:arm64 2.2.1-1~debian.13~trixie
2026-02-25 18:57:51 remove containerd.io:arm64 2.2.1-1~debian.13~trixie <none>
2026-02-25 18:57:51 status half-configured containerd.io:arm64 2.2.1-1~debian.13~trixie
2026-02-25 18:57:51 status half-installed containerd.io:arm64 2.2.1-1~debian.13~trixie
2026-02-25 18:57:52 status config-files containerd.io:arm64 2.2.1-1~debian.13~trixie
2026-02-25 18:57:52 status installed docker-buildx-plugin:arm64 0.31.1-1~debian.13~trixie
2026-02-25 18:57:52 remove docker-buildx-plugin:arm64 0.31.1-1~debian.13~trixie <none>
2026-02-25 18:57:52 status half-configured docker-buildx-plugin:arm64 0.31.1-1~debian.13~trixie
2026-02-25 18:57:52 status half-installed docker-buildx-plugin:arm64 0.31.1-1~debian.13~trixie
2026-02-25 18:57:52 status config-files docker-buildx-plugin:arm64 0.31.1-1~debian.13~trixie
2026-02-25 18:57:53 status not-installed docker-buildx-plugin:arm64 <none>
2026-02-25 18:57:53 status installed docker-ce-cli:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:57:53 remove docker-ce-cli:arm64 5:29.2.1-1~debian.13~trixie <none>
2026-02-25 18:57:53 status half-configured docker-ce-cli:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:57:53 status half-installed docker-ce-cli:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:57:53 status config-files docker-ce-cli:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:57:54 status not-installed docker-ce-cli:arm64 <none>
2026-02-25 18:57:54 status installed docker-compose-plugin:arm64 5.1.0-1~debian.13~trixie
2026-02-25 18:57:54 remove docker-compose-plugin:arm64 5.1.0-1~debian.13~trixie <none>
2026-02-25 18:57:54 status half-configured docker-compose-plugin:arm64 5.1.0-1~debian.13~trixie
2026-02-25 18:57:54 status half-installed docker-compose-plugin:arm64 5.1.0-1~debian.13~trixie
2026-02-25 18:57:54 status config-files docker-compose-plugin:arm64 5.1.0-1~debian.13~trixie
2026-02-25 18:57:54 status not-installed docker-compose-plugin:arm64 <none>
2026-02-25 18:57:55 startup packages configure
2026-02-25 18:57:55 trigproc man-db:arm64 2.13.1-1 <none>
2026-02-25 18:57:55 status half-configured man-db:arm64 2.13.1-1
2026-02-25 18:57:58 status installed man-db:arm64 2.13.1-1
2026-02-25 18:58:18 startup packages remove
2026-02-25 18:58:18 status installed docker-ce-rootless-extras:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:58:18 remove docker-ce-rootless-extras:arm64 5:29.2.1-1~debian.13~trixie <none>
2026-02-25 18:58:18 status half-configured docker-ce-rootless-extras:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:58:18 status half-installed docker-ce-rootless-extras:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:58:18 status config-files docker-ce-rootless-extras:arm64 5:29.2.1-1~debian.13~trixie
2026-02-25 18:58:18 status not-installed docker-ce-rootless-extras:arm64 <none>
2026-02-25 18:58:18 status installed slirp4netns:arm64 1.2.1-1.1
2026-02-25 18:58:18 remove slirp4netns:arm64 1.2.1-1.1 <none>
2026-02-25 18:58:18 status half-configured slirp4netns:arm64 1.2.1-1.1
2026-02-25 18:58:18 status half-installed slirp4netns:arm64 1.2.1-1.1
2026-02-25 18:58:18 status triggers-pending man-db:arm64 2.13.1-1
2026-02-25 18:58:18 status config-files slirp4netns:arm64 1.2.1-1.1
2026-02-25 18:58:18 status not-installed slirp4netns:arm64 <none>
2026-02-25 18:58:18 status installed libslirp0:arm64 4.8.0-1+b1
2026-02-25 18:58:18 remove libslirp0:arm64 4.8.0-1+b1 <none>
2026-02-25 18:58:18 status triggers-pending libc-bin:arm64 2.41-12+rpt1
